Employee_ID,Leave_Type,Leave_Date
27,Sick Leave,2026-02-12
32,Paid Leave,2026-02-04
12,Casual Leave,2026-02-21
17,Paid Leave,2026-01-13
99,Casual Leave,2026-02-23
15,Casual Leave,2026-02-18
95,Casual Leave,2026-02-28
67,Paid Leave,2026-01-19
3,Sick Leave,2026-03-27
51,Casual Leave,2026-02-27
91,Paid Leave,2026-03-01
2,Paid Leave,2026-03-23
33,Casual Leave,2026-01-10
38,Paid Leave,2026-01-04
63,Casual Leave,2026-03-20
22,Sick Leave,2026-03-23
64,Paid Leave,2026-03-20
25,Sick Leave,2026-01-26
100,Sick Leave,2026-01-19
39,Sick Leave,2026-01-22
26,Sick Leave,2026-03-20
15,Paid Leave,2026-01-03
1,Paid Leave,2026-01-15
44,Casual Leave,2026-01-27
96,Sick Leave,2026-02-16
75,Sick Leave,2026-02-09
54,Paid Leave,2026-03-05
56,Paid Leave,2026-03-16
48,Casual Leave,2026-01-04
32,Casual Leave,2026-03-20
22,Paid Leave,2026-03-03
6,Sick Leave,2026-02-22
25,Casual Leave,2026-04-01
33,Sick Leave,2026-02-17
2,Sick Leave,2026-01-05
41,Paid Leave,2026-01-25
56,Paid Leave,2026-03-30
51,Paid Leave,2026-02-04
56,Paid Leave,2026-01-21
82,Casual Leave,2026-03-14
94,Paid Leave,2026-01-15
67,Paid Leave,2026-03-17
9,Paid Leave,2026-01-06
47,Casual Leave,2026-02-21
73,Paid Leave,2026-03-24
31,Paid Leave,2026-02-03
35,Paid Leave,2026-02-15
42,Casual Leave,2026-01-13
27,Paid Leave,2026-03-28
30,Paid Leave,2026-03-25
42,Casual Leave,2026-01-04
41,Sick Leave,2026-02-07
50,Paid Leave,2026-03-05
70,Paid Leave,2026-03-17
32,Paid Leave,2026-02-09
74,Sick Leave,2026-03-02
12,Paid Leave,2026-03-25
19,Paid Leave,2026-01-29
77,Sick Leave,2026-02-09
45,Casual Leave,2026-01-02
87,Sick Leave,2026-01-13
52,Paid Leave,2026-01-18
90,Casual Leave,2026-03-17
3,Casual Leave,2026-02-22
10,Sick Leave,2026-02-11
64,Casual Leave,2026-02-28
15,Paid Leave,2026-01-26
44,Paid Leave,2026-01-29
11,Paid Leave,2026-01-05
25,Casual Leave,2026-02-05
9,Casual Leave,2026-03-25
82,Sick Leave,2026-03-21
44,Sick Leave,2026-02-10
75,Paid Leave,2026-02-25
17,Casual Leave,2026-03-19
6,Paid Leave,2026-03-28
26,Paid Leave,2026-01-13
96,Sick Leave,2026-03-11
35,Sick Leave,2026-03-31
43,Casual Leave,2026-02-15
93,Paid Leave,2026-01-22
42,Sick Leave,2026-02-12
30,Casual Leave,2026-03-03
99,Casual Leave,2026-01-30
95,Sick Leave,2026-02-11
85,Sick Leave,2026-03-13
72,Casual Leave,2026-01-08
39,Casual Leave,2026-01-18
38,Paid Leave,2026-02-21
84,Paid Leave,2026-01-02
64,Casual Leave,2026-03-10
10,Paid Leave,2026-03-20
49,Sick Leave,2026-02-18
88,Sick Leave,2026-03-10
5,Paid Leave,2026-03-31
78,Sick Leave,2026-02-17
60,Paid Leave,2026-03-31
41,Casual Leave,2026-02-06
52,Casual Leave,2026-03-10
60,Casual Leave,2026-02-20
72,Sick Leave,2026-01-07
97,Paid Leave,2026-03-20
70,Sick Leave,2026-03-28
46,Paid Leave,2026-01-26
64,Casual Leave,2026-01-21
3,Sick Leave,2026-02-20
33,Casual Leave,2026-02-25
28,Sick Leave,2026-01-12
100,Casual Leave,2026-01-23
4,Casual Leave,2026-02-17
1,Casual Leave,2026-01-17
47,Casual Leave,2026-01-05
12,Casual Leave,2026-01-10
20,Sick Leave,2026-02-10
76,Paid Leave,2026-04-01
3,Sick Leave,2026-02-02
69,Casual Leave,2026-04-01
54,Sick Leave,2026-03-17
70,Casual Leave,2026-01-16
99,Paid Leave,2026-02-25
12,Sick Leave,2026-03-07
24,Paid Leave,2026-02-02
81,Sick Leave,2026-01-13
3,Sick Leave,2026-02-16
31,Casual Leave,2026-02-14
36,Sick Leave,2026-02-23
24,Casual Leave,2026-03-20
60,Paid Leave,2026-02-22
80,Casual Leave,2026-02-15
1,Sick Leave,2026-03-23
37,Sick Leave,2026-02-22
58,Sick Leave,2026-01-10
85,Paid Leave,2026-02-08
69,Sick Leave,2026-02-03
75,Sick Leave,2026-02-09
33,Casual Leave,2026-01-21
78,Casual Leave,2026-03-08
72,Paid Leave,2026-01-03
69,Paid Leave,2026-01-11
75,Casual Leave,2026-01-27
15,Sick Leave,2026-02-02
68,Casual Leave,2026-02-04
82,Paid Leave,2026-02-01
13,Casual Leave,2026-03-10
47,Casual Leave,2026-03-09
61,Paid Leave,2026-03-26
23,Sick Leave,2026-01-30
74,Paid Leave,2026-01-24
66,Casual Leave,2026-02-27
51,Sick Leave,2026-01-12
27,Sick Leave,2026-01-22
21,Paid Leave,2026-03-20
94,Sick Leave,2026-03-02
40,Paid Leave,2026-01-04
59,Sick Leave,2026-03-19
10,Sick Leave,2026-03-22
69,Casual Leave,2026-01-18
97,Sick Leave,2026-02-13
89,Sick Leave,2026-02-07
11,Paid Leave,2026-01-10
63,Sick Leave,2026-01-11
2,Sick Leave,2026-02-18
90,Paid Leave,2026-01-29
85,Casual Leave,2026-01-10
2,Casual Leave,2026-02-19
95,Casual Leave,2026-01-26
84,Casual Leave,2026-01-18
72,Paid Leave,2026-01-04
21,Casual Leave,2026-02-16
80,Sick Leave,2026-01-04
84,Sick Leave,2026-03-02
94,Paid Leave,2026-03-31
21,Paid Leave,2026-01-28
31,Sick Leave,2026-02-11
9,Paid Leave,2026-03-19
47,Sick Leave,2026-01-09
56,Casual Leave,2026-03-08
53,Paid Leave,2026-03-23
73,Sick Leave,2026-01-24
81,Sick Leave,2026-03-03
50,Paid Leave,2026-02-27
36,Paid Leave,2026-03-29
5,Sick Leave,2026-02-03
26,Paid Leave,2026-02-21
10,Paid Leave,2026-01-29
80,Casual Leave,2026-01-12
64,Sick Leave,2026-02-09
7,Casual Leave,2026-03-08
39,Casual Leave,2026-01-21
14,Sick Leave,2026-03-20
22,Paid Leave,2026-02-15
51,Casual Leave,2026-03-18
57,Sick Leave,2026-02-12
1,Sick Leave,2026-03-26
94,Sick Leave,2026-02-26
73,Sick Leave,2026-01-21
50,Casual Leave,2026-02-11
34,Paid Leave,2026-01-06
84,Paid Leave,2026-02-27
96,Sick Leave,2026-03-28
26,Paid Leave,2026-01-29
34,Casual Leave,2026-03-08
99,Paid Leave,2026-03-16
13,Paid Leave,2026-02-27
76,Casual Leave,2026-02-22
94,Sick Leave,2026-01-10
49,Paid Leave,2026-01-26
10,Sick Leave,2026-03-15
21,Casual Leave,2026-03-27
63,Sick Leave,2026-02-06
23,Sick Leave,2026-01-17
60,Sick Leave,2026-02-03
98,Sick Leave,2026-02-17
98,Casual Leave,2026-01-03
21,Casual Leave,2026-03-16
51,Sick Leave,2026-01-09
80,Casual Leave,2026-03-26
68,Sick Leave,2026-03-12
2,Sick Leave,2026-03-15
2,Casual Leave,2026-01-19
97,Paid Leave,2026-03-06
49,Casual Leave,2026-01-13
21,Paid Leave,2026-03-04
100,Paid Leave,2026-01-14
24,Casual Leave,2026-01-13
45,Paid Leave,2026-01-03
77,Paid Leave,2026-02-03
3,Paid Leave,2026-02-25
32,Sick Leave,2026-01-17
7,Casual Leave,2026-03-17
85,Casual Leave,2026-02-06
68,Sick Leave,2026-03-01
79,Casual Leave,2026-03-21
36,Sick Leave,2026-01-24
71,Sick Leave,2026-01-06
60,Casual Leave,2026-01-31
7,Sick Leave,2026-03-06
16,Casual Leave,2026-03-08
22,Sick Leave,2026-01-16
55,Casual Leave,2026-02-17
9,Casual Leave,2026-01-16
78,Casual Leave,2026-03-04
57,Casual Leave,2026-03-21
58,Paid Leave,2026-02-24
89,Paid Leave,2026-03-02
17,Sick Leave,2026-01-24
23,Casual Leave,2026-01-19
42,Sick Leave,2026-02-20
24,Paid Leave,2026-02-03
87,Sick Leave,2026-03-09
71,Casual Leave,2026-02-15
93,Paid Leave,2026-02-28
2,Sick Leave,2026-03-21
27,Paid Leave,2026-04-01
84,Casual Leave,2026-01-02
85,Sick Leave,2026-03-27
76,Paid Leave,2026-01-24
80,Sick Leave,2026-03-28
100,Paid Leave,2026-03-23
23,Sick Leave,2026-02-19
97,Casual Leave,2026-03-02
52,Paid Leave,2026-02-14
41,Sick Leave,2026-01-27
36,Casual Leave,2026-03-02
86,Casual Leave,2026-04-01
5,Sick Leave,2026-01-11
3,Sick Leave,2026-01-03
27,Paid Leave,2026-03-11
1,Paid Leave,2026-03-28
6,Paid Leave,2026-02-24
40,Casual Leave,2026-01-13
50,Sick Leave,2026-01-07
84,Sick Leave,2026-03-24
98,Casual Leave,2026-01-12
76,Sick Leave,2026-02-23
58,Casual Leave,2026-01-02
20,Casual Leave,2026-01-13
34,Casual Leave,2026-01-26
67,Casual Leave,2026-02-04
53,Sick Leave,2026-01-31
15,Paid Leave,2026-02-02
39,Casual Leave,2026-03-22
4,Paid Leave,2026-02-20
11,Sick Leave,2026-03-11
27,Sick Leave,2026-02-24
46,Casual Leave,2026-01-12
98,Casual Leave,2026-03-16
41,Casual Leave,2026-01-22
36,Paid Leave,2026-03-01
28,Sick Leave,2026-01-02
39,Sick Leave,2026-02-22
3,Casual Leave,2026-03-04
60,Casual Leave,2026-02-27
90,Casual Leave,2026-02-19
36,Casual Leave,2026-01-26
34,Paid Leave,2026-02-22
9,Sick Leave,2026-03-10
65,Casual Leave,2026-03-11
37,Sick Leave,2026-02-21
62,Paid Leave,2026-02-12
