Employee_ID,Gross_Salary,Deduction,Net_Salary
1,75184,0,75184
2,36174,0,36174
3,60978,0,60978
4,83470,0,83470
5,70366,0,70366
6,54085,0,54085
7,53794,0,53794
8,88985,0,88985
9,49548,0,49548
10,88528,0,88528
11,68201,0,68201
12,69715,0,69715
13,63506,0,63506
14,68171,0,68171
15,40801,0,40801
16,82914,0,82914
17,49754,0,49754
18,36971,0,36971
19,77879,0,77879
20,71492,0,71492
21,42744,0,42744
22,85740,0,85740
23,67234,0,67234
24,65911,0,65911
25,71912,0,71912
26,87456,0,87456
27,58043,0,58043
28,85121,0,85121
29,77542,0,77542
30,86960,0,86960
31,85113,0,85113
32,72502,0,72502
33,89260,0,89260
34,41082,0,41082
35,58307,0,58307
36,82521,0,82521
37,67223,0,67223
38,30617,0,30617
39,35021,0,35021
40,78190,0,78190
41,53838,0,53838
42,54168,0,54168
43,83808,0,83808
44,42494,0,42494
45,40304,0,40304
46,40224,0,40224
47,79188,0,79188
48,56279,0,56279
49,33537,0,33537
50,83619,0,83619
51,59975,0,59975
52,57409,0,57409
53,80477,0,80477
54,65476,0,65476
55,87091,0,87091
56,63112,0,63112
57,73795,0,73795
58,44372,0,44372
59,76265,0,76265
60,70367,0,70367
61,75907,0,75907
62,64036,0,64036
63,81046,0,81046
64,32316,0,32316
65,84181,0,84181
66,79502,0,79502
67,30647,0,30647
68,67049,0,67049
69,50625,0,50625
70,83190,0,83190
71,30121,0,30121
72,88754,0,88754
73,87142,0,87142
74,54179,0,54179
75,51914,0,51914
76,31154,0,31154
77,56461,0,56461
78,52170,0,52170
79,70083,0,70083
80,62641,0,62641
81,87293,0,87293
82,48344,0,48344
83,61944,0,61944
84,30903,0,30903
85,76849,0,76849
86,63944,0,63944
87,33511,0,33511
88,52552,0,52552
89,87078,0,87078
90,32271,0,32271
91,46925,0,46925
92,72139,0,72139
93,47020,0,47020
94,64226,0,64226
95,32590,0,32590
96,52125,0,52125
97,31927,0,31927
98,60323,0,60323
99,42630,0,42630
100,67950,0,67950
